Age,Education,Marital Status,Parental Status,Children,Income,Total_Spending,Days_as_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total Promo,NumWebVisitsMonth,cluster
40,2,1,0,0,37040.0,316.0,3739,41,86,2,73,69.0,38,48.0,4,2,5,1,0,8,1
43,2,1,1,1,2447.0,1730.0,3442,42,1,1,556,1.0,1,1.0,0,28,0,15,0,1,1
73,4,1,1,1,58607.0,972.0,3602,63,867,0,86,0.0,0,19.0,2,3,9,3,1,8,1
68,4,1,1,1,65324.0,544.0,2924,0,384,0,102,21.0,32,5.0,6,2,9,3,0,4,1
71,2,1,1,1,40689.0,444.0,3517,69,270,3,27,39.0,6,99.0,7,1,5,7,0,8,1
53,2,0,0,0,18589.0,75.0,3562,89,6,4,25,15.0,12,13.0,2,1,3,2,0,7,2
46,2,1,1,2,53359.0,257.0,3447,4,173,4,30,3.0,6,41.0,5,1,4,4,0,7,1
36,2,0,1,1,51381.5,637.0,3543,19,5,1,3,3.0,81,126.5,27,0,0,0,0,1,1
33,2,1,1,1,38360.0,131.0,3443,26,36,2,42,20.0,21,10.0,2,1,4,2,0,3,2
57,4,1,0,0,84618.0,1672.0,3268,96,684,81,556,21.0,66,0.0,6,9,10,1,1,2,0
33,3,0,0,0,10979.0,30.0,3087,34,8,4,10,2.0,2,4.0,3,0,3,2,0,5,2
59,3,1,0,0,38620.0,318.0,3285,56,112,17,44,34.0,22,89.0,2,5,3,1,0,3,0
52,2,1,1,1,40548.0,120.0,3676,31,110,0,5,2.0,0,3.0,2,1,4,2,1,5,2
70,4,0,1,2,46610.0,302.0,3657,8,96,12,96,33.0,22,43.0,4,1,6,6,0,6,1
76,3,1,0,0,68657.0,1196.0,3543,4,482,34,471,119.0,68,22.0,3,5,9,1,0,7,0
71,3,0,1,2,49389.0,65.0,3353,55,40,0,19,2.0,1,3.0,2,0,3,1,0,7,2
52,4,1,1,1,67353.0,913.0,3229,37,702,17,151,0.0,8,35.0,5,6,12,5,0,2,1
46,1,1,1,1,23718.0,81.0,3554,76,6,3,14,15.0,7,36.0,3,1,2,3,0,7,2
49,2,0,1,1,42429.0,67.0,2923,99,55,0,6,2.0,0,4.0,1,1,3,2,0,5,2
79,4,0,0,0,48948.0,902.0,3592,53,437,8,206,120.5,49,42.0,7,10,5,2,1,6,0
42,2,1,1,1,80011.0,1395.0,3475,3,421,76,536,82.0,81,102.0,8,6,5,2,0,4,0
37,3,1,1,1,20559.0,53.0,3257,88,13,1,29,3.0,0,7.0,2,0,3,2,0,8,2
65,2,1,1,1,21994.0,22.0,3601,4,9,0,6,3.0,1,3.0,0,0,3,1,0,5,2
63,4,0,0,0,51381.5,186.0,3463,80,81,11,50,3.0,2,39.0,1,3,4,1,0,2,2
47,3,1,1,1,7500.0,31.0,3553,19,3,1,10,3.0,2,12.0,2,0,3,3,0,5,2
46,2,0,0,0,79941.0,984.0,3050,72,123,81,266,120.5,30,126.5,2,4,9,1,0,1,0
26,1,1,0,0,7500.0,122.0,3705,24,3,18,14,15.0,22,50.0,3,1,3,3,0,9,2
54,2,1,1,1,41728.0,55.0,3450,92,13,6,15,3.0,5,13.0,2,0,2,1,0,10,2
71,2,0,1,3,51381.5,124.0,3228,96,48,5,48,6.0,10,7.0,2,1,4,3,0,6,2
68,4,1,1,2,72550.0,1319.0,3736,39,826,50,317,50.0,38,38.0,5,2,12,9,0,8,1
65,2,0,1,1,65486.0,507.0,2890,29,245,19,125,37.0,67,14.0,4,2,10,1,0,2,0
58,3,1,0,0,79143.0,1693.0,3647,2,650,37,556,27.0,81,32.0,6,9,13,1,0,3,0
45,2,0,1,1,35790.0,72.0,3562,54,12,6,20,30.0,1,3.0,2,0,3,2,0,7,2
45,2,0,0,0,82582.0,1617.0,3042,54,510,81,550,120.5,40,126.5,4,9,7,1,2,1,0
44,2,1,1,2,66373.0,606.0,3254,57,328,9,124,12.0,24,109.0,4,2,10,7,0,3,1
67,3,1,0,0,82384.0,1957.0,3636,55,984,51,432,120.5,81,126.5,3,10,13,1,1,1,0
56,2,0,0,0,70287.0,1093.0,3559,30,295,35,482,120.5,81,40.0,5,5,10,1,0,3,0
34,2,0,1,1,27938.0,29.0,3111,31,13,0,8,2.0,1,5.0,1,0,4,1,0,3,2
40,2,0,1,1,51381.5,46.0,3426,57,11,3,22,2.0,2,6.0,2,0,3,2,0,6,2
54,4,1,1,1,55954.0,518.0,3167,63,447,0,28,0.0,0,43.0,8,2,6,3,0,7,1
40,3,0,0,0,75777.0,1438.0,3497,12,712,26,538,69.0,13,80.0,3,6,11,1,2,1,0
47,2,1,1,2,66653.0,612.0,3769,18,452,18,102,16.0,18,6.0,4,2,12,4,0,3,1
70,2,0,1,1,61823.0,884.0,3545,26,523,7,134,37.0,14,126.5,8,2,10,4,0,7,1
71,4,0,1,1,67680.0,606.0,3284,8,546,0,48,0.0,6,6.0,7,3,8,1,0,5,1
74,2,1,0,0,70666.0,1076.0,3431,29,398,40,367,119.0,81,30.0,7,4,4,1,0,4,0
51,2,1,1,1,25721.0,34.0,3453,75,1,3,6,3.0,6,15.0,1,1,2,1,0,7,2
55,2,1,1,2,32474.0,11.0,2920,0,10,0,1,0.0,0,0.0,1,0,2,1,0,7,2
43,1,0,1,1,88194.0,1274.0,3151,19,688,14,309,120.5,24,38.0,11,10,10,1,2,5,0
64,2,1,1,1,69096.0,653.0,3324,4,247,49,159,7.0,81,109.0,5,2,10,1,0,4,1
52,2,1,1,3,74854.0,1562.0,3378,90,856,59,487,58.0,29,73.0,2,5,5,7,0,5,1
68,3,1,0,0,66991.0,1253.0,3646,1,496,36,460,120.5,60,12.0,4,8,6,3,0,3,0
49,1,1,1,1,51381.5,109.0,3702,25,25,3,43,17.0,4,17.0,3,0,3,3,0,8,2
63,2,1,1,1,65031.0,863.0,3518,29,258,81,291,84.0,37,86.0,10,3,13,4,0,7,1
47,4,1,1,2,60631.0,661.0,3470,88,565,6,65,0.0,6,19.0,9,2,8,5,1,7,1
70,2,1,0,0,28332.0,65.0,3109,58,14,10,13,4.0,15,9.0,2,1,4,1,0,2,2
45,2,0,1,1,40246.0,13.0,3606,68,2,1,6,2.0,1,1.0,1,0,2,1,0,6,2
50,3,1,0,0,75251.0,1890.0,3720,34,721,81,556,97.0,18,18.0,7,6,5,1,0,5,0
46,2,0,0,0,75825.0,2209.0,3615,40,1032,81,556,120.5,81,51.0,5,8,9,0,1,4,0
46,1,1,0,0,26326.0,18.0,3495,12,1,0,5,0.0,3,9.0,0,0,3,1,0,3,2
57,2,1,0,0,56046.0,692.0,3562,9,577,0,64,0.0,0,51.0,10,1,8,2,1,8,1
37,2,0,1,1,29760.0,165.0,3718,87,64,4,68,7.0,5,17.0,3,1,4,4,0,8,2
53,2,1,1,1,26304.0,16.0,3420,5,4,1,5,2.0,0,4.0,1,0,2,1,0,7,2
49,1,1,1,1,23559.0,79.0,3528,87,25,5,19,7.0,0,23.0,3,0,3,3,0,7,2
59,3,1,0,0,38620.0,318.0,3285,56,112,17,44,34.0,22,89.0,2,5,3,1,0,3,0
35,2,0,0,0,81361.0,778.0,3173,18,163,23,424,27.0,65,76.0,3,10,13,1,0,1,0
62,2,1,1,2,29440.0,56.0,3282,95,17,8,14,10.0,4,3.0,1,0,4,2,0,7,2
52,3,1,1,2,36138.0,151.0,3397,48,130,0,16,0.0,0,5.0,3,1,4,5,1,7,2
65,2,0,1,1,50388.0,372.0,3081,3,292,6,37,0.0,3,34.0,6,1,6,4,2,7,1
49,2,1,0,0,79593.0,1366.0,2890,70,350,60,556,110.0,81,126.5,5,6,7,1,1,2,0
55,2,1,1,1,54178.0,194.0,3208,79,135,9,39,4.0,0,7.0,2,2,5,1,0,2,2
65,4,1,1,3,51381.5,603.0,3636,4,230,42,192,49.0,37,53.0,7,2,8,12,0,9,1
65,2,0,1,2,51381.5,18.0,3082,45,7,0,8,2.0,0,1.0,1,0,2,1,0,7,2
49,3,1,0,0,51381.5,985.0,3267,87,445,37,359,98.0,28,18.0,2,4,8,1,0,1,0
50,3,0,1,1,42394.0,32.0,3147,69,15,2,10,0.0,1,4.0,1,0,3,1,0,7,2
52,4,1,1,1,23626.0,43.0,3085,84,27,2,14,0.0,0,0.0,3,1,3,3,0,5,2
39,2,1,1,1,30096.0,45.0,3087,30,5,3,11,12.0,5,9.0,2,0,3,1,0,6,2
62,2,0,1,1,47916.0,606.0,3633,72,505,0,26,0.0,0,75.0,7,4,6,5,1,6,1
50,2,0,1,2,51813.0,63.0,3286,37,51,2,7,0.0,1,2.0,2,0,3,2,0,7,2
71,1,1,0,0,78497.0,978.0,3582,44,207,26,447,75.0,0,126.5,5,7,12,1,1,2,0
39,4,1,0,0,50150.0,410.0,3423,32,135,46,92,65.0,61,11.0,5,2,7,2,0,5,0
62,1,0,1,1,47823.0,72.0,3390,0,53,1,5,2.0,1,10.0,2,0,3,2,0,8,2
63,4,0,1,1,34554.0,55.0,3140,43,41,1,6,2.0,0,5.0,2,0,3,2,0,6,2
43,2,1,1,1,85693.0,1169.0,3484,59,386,81,183,120.5,81,111.0,9,5,11,2,0,5,0
77,4,1,0,0,65846.0,1120.0,3457,68,562,81,276,80.0,40,81.0,6,3,6,1,0,4,0
63,2,1,0,0,87195.0,1097.0,3012,35,217,76,556,50.0,26,38.0,3,11,5,1,0,1,0
43,0,1,1,1,24594.0,29.0,3309,94,1,3,6,10.0,0,9.0,1,0,3,1,0,5,2
58,2,1,1,2,49096.0,187.0,3327,15,144,1,32,2.0,1,7.0,4,1,4,4,0,7,2
53,2,1,1,2,52413.0,910.0,3561,56,295,81,271,75.0,81,65.0,6,4,12,4,0,6,1
44,2,0,1,1,38557.0,145.0,3606,17,76,3,31,4.0,4,27.0,3,1,3,2,0,7,2
62,3,1,0,0,89058.0,850.0,3766,18,454,81,106,31.0,22,43.0,5,4,4,1,0,2,0
43,2,1,1,1,77298.0,969.0,3552,46,425,81,292,23.0,35,79.0,6,6,11,1,0,3,0
31,4,0,0,0,68126.0,1820.0,3675,40,1225,17,311,23.0,51,86.0,7,4,5,1,1,9,0
59,3,1,1,1,57288.0,608.0,3053,27,527,0,21,0.0,0,60.0,8,1,8,3,1,6,1
31,2,0,0,0,86037.0,730.0,3562,95,490,44,125,29.0,20,22.0,6,7,11,1,2,3,0
42,4,1,1,1,43974.0,551.0,3613,19,378,0,101,0.0,0,72.0,6,4,6,5,0,7,1
60,2,0,1,2,50785.0,114.0,3312,27,64,1,21,0.0,1,27.0,2,1,3,2,0,6,2
52,2,1,0,0,90765.0,1724.0,3205,25,547,81,556,120.5,81,33.0,4,6,5,0,2,1,0
44,1,1,1,1,36550.0,577.0,3544,74,47,81,94,120.5,81,120.0,9,1,5,5,0,9,1
55,1,1,1,2,30753.0,81.0,3283,85,12,5,25,0.0,9,30.0,1,1,3,2,0,5,2
53,2,1,1,1,21918.0,33.0,3276,37,1,6,7,11.0,5,3.0,2,0,3,2,0,6,2
69,3,1,1,1,56129.0,660.0,3423,65,320,48,133,39.0,72,48.0,6,2,10,4,0,4,1
55,3,0,1,1,32557.0,80.0,3174,13,34,3,29,0.0,4,10.0,2,1,3,3,0,5,2
37,3,1,1,2,19510.0,30.0,3495,63,9,0,7,3.0,4,7.0,1,0,3,2,0,7,2
46,2,0,1,1,30992.0,43.0,3482,83,17,0,14,7.0,3,2.0,1,0,3,1,0,7,2
39,2,0,0,0,101970.0,1135.0,3257,69,722,27,102,44.0,72,126.5,6,8,13,0,3,2,0
57,1,1,0,0,71488.0,559.0,3545,87,162,33,124,40.0,28,126.5,3,4,7,2,0,1,0
38,2,0,0,0,79607.0,1923.0,3483,37,450,81,556,120.5,0,126.5,3,6,6,1,0,1,0
69,3,1,1,2,54348.0,90.0,3011,51,70,0,16,0.0,0,4.0,2,0,4,2,0,6,2
61,4,1,1,1,51381.5,404.0,3283,23,352,0,27,10.0,0,15.0,6,1,7,3,0,6,1
66,4,1,1,2,77376.0,661.0,2951,72,492,19,110,16.0,12,12.0,6,3,10,4,0,4,1
70,2,1,1,1,62998.0,463.0,3321,10,120,58,73,65.0,81,58.0,5,4,5,5,0,5,1
64,3,0,1,2,61331.0,632.0,3318,42,534,5,47,0.0,5,41.0,11,1,6,5,0,8,1
53,2,1,0,0,73448.0,725.0,2954,10,236,81,189,23.0,41,126.5,7,2,9,1,0,4,0
59,2,1,1,1,51381.5,725.0,3282,96,231,65,196,38.0,71,124.0,6,5,7,1,0,4,0
58,4,1,1,2,41551.0,279.0,3368,51,220,0,33,3.0,0,23.0,5,1,5,5,0,8,1
55,4,1,0,0,62981.0,1482.0,3518,21,796,14,556,38.0,44,0.0,4,5,13,1,1,3,0
46,0,0,1,1,9548.0,29.0,3739,31,0,1,3,10.0,6,9.0,1,0,3,2,0,8,2
63,4,1,1,3,33762.0,106.0,3406,61,53,1,34,2.0,0,16.0,2,2,2,3,0,8,2
49,4,0,1,2,35860.0,49.0,3090,37,15,0,8,4.0,2,20.0,1,1,2,2,1,5,2
57,4,0,1,2,36921.0,38.0,3385,74,17,1,12,3.0,1,4.0,2,0,3,2,0,7,2
30,3,0,0,0,92859.0,2077.0,3667,46,962,61,556,52.0,61,20.0,5,4,12,1,0,2,0
46,3,1,1,1,65104.0,1053.0,3276,4,738,0,232,13.0,20,50.0,3,5,7,2,0,7,1
60,2,1,0,0,86111.0,1385.0,3485,73,399,28,556,36.0,40,126.0,5,7,10,1,0,2,0
48,4,0,1,1,68352.0,871.0,3354,47,614,16,132,43.0,33,33.0,8,5,9,3,0,6,1
34,2,1,1,1,41883.0,312.0,3516,13,32,34,41,73.0,16,116.0,4,2,3,3,0,7,1
46,2,1,1,2,59809.0,877.0,3668,36,598,16,141,32.0,41,49.0,3,3,6,3,0,8,1
47,2,1,1,1,23957.0,68.0,3658,47,2,1,18,20.0,11,16.0,2,0,3,1,0,6,2
41,2,1,1,1,38547.0,22.0,3354,49,6,1,10,0.0,1,4.0,1,0,2,1,0,8,2
49,1,1,1,3,35688.0,211.0,3725,94,73,3,90,12.0,1,32.0,4,1,4,7,0,8,1
56,3,1,0,0,49605.0,127.0,3057,65,42,16,29,12.0,20,8.0,2,1,4,1,0,3,2
69,3,1,1,2,59354.0,459.0,3115,59,295,21,78,39.0,13,13.0,4,4,7,1,0,3,1
53,2,1,1,1,65747.0,460.0,3045,96,346,17,48,23.0,13,13.0,8,1,6,4,1,6,1
50,1,1,1,1,46344.0,429.0,3611,28,233,20,57,8.0,20,91.0,7,1,5,4,0,7,1
34,2,0,1,1,34176.0,89.0,2890,12,5,7,24,19.0,14,20.0,3,0,4,4,0,6,2
70,4,1,1,1,61010.0,1021.0,3706,57,888,0,57,0.0,0,76.0,8,5,11,2,0,5,1
73,2,1,0,0,69372.0,1381.0,3544,10,997,26,269,34.0,13,42.0,10,4,6,1,2,4,0
64,2,0,1,1,49967.0,306.0,3375,4,212,6,69,4.0,12,3.0,6,1,5,3,0,7,1
44,2,0,1,3,60199.0,18.0,3251,49,8,1,7,2.0,0,0.0,0,0,3,1,0,4,2
45,2,1,1,1,55375.0,162.0,3304,3,42,11,57,10.0,28,14.0,1,1,6,1,0,2,2
67,2,0,0,0,80317.0,1231.0,3362,64,536,11,387,120.5,81,57.0,3,4,10,1,0,1,0
64,3,0,1,3,30523.0,13.0,3587,0,5,0,3,0.0,0,5.0,1,0,2,1,0,7,2
77,4,1,0,0,70356.0,1706.0,3828,20,1225,16,249,43.0,16,33.0,10,6,9,2,0,6,0
38,2,1,1,1,23228.0,121.0,3108,91,53,3,49,7.0,4,5.0,3,0,4,4,0,8,2
47,4,0,0,0,74165.0,1293.0,3589,9,1001,12,240,16.0,12,12.0,5,4,10,1,0,2,0
49,4,1,1,1,117416.25,1608.0,3226,98,20,2,556,1.0,2,1.0,0,22,0,15,0,0,1
56,2,1,1,3,43482.0,88.0,3277,83,18,1,32,6.0,3,28.0,2,0,4,3,0,6,2
69,2,0,0,0,62551.0,421.0,3272,27,125,16,98,120.5,21,27.0,6,7,4,1,1,3,0
63,2,0,0,0,52332.0,259.0,3354,63,212,5,33,7.0,0,2.0,3,2,6,1,1,4,2
34,2,0,0,0,66951.0,1117.0,3552,46,277,81,305,120.5,76,124.0,3,4,7,1,0,1,0
65,2,1,1,2,26091.0,89.0,3173,84,15,10,19,8.0,17,20.0,2,1,3,3,0,5,2
57,2,1,1,2,33456.0,36.0,3118,58,7,3,10,8.0,1,7.0,1,0,3,2,0,7,2
40,2,1,1,1,28718.0,57.0,3400,78,12,4,6,11.0,8,16.0,2,0,3,2,0,8,2
52,2,1,1,2,50447.0,148.0,3118,4,85,7,24,2.0,3,27.0,3,1,3,1,0,6,2
63,4,1,1,2,53537.0,93.0,3199,17,81,0,6,0.0,0,6.0,2,1,3,2,0,5,2
55,2,0,1,1,52074.0,119.0,3135,77,59,0,12,0.0,0,48.0,2,2,2,1,1,4,2
47,4,1,1,1,80427.0,1835.0,3616,56,1149,71,449,69.0,71,26.0,11,8,8,1,0,5,0
74,4,1,0,0,83837.0,1318.0,3609,79,847,66,119,86.0,81,111.0,9,10,5,1,2,4,0
52,4,1,1,2,38853.0,45.0,3086,90,29,0,14,0.0,0,2.0,2,0,3,2,0,7,2
63,2,1,1,3,38285.0,10.0,3054,96,2,0,5,2.0,0,1.0,0,0,3,1,0,2,2
71,1,1,0,0,78497.0,978.0,3582,44,207,26,447,75.0,0,126.5,5,7,12,1,1,2,0
46,4,1,1,1,51650.0,191.0,2920,81,152,3,22,2.0,5,7.0,4,1,4,1,0,5,2
34,1,1,1,1,16248.0,57.0,2951,77,12,11,10,3.0,12,9.0,2,1,3,3,0,6,2
76,3,1,0,0,66835.0,1033.0,3323,21,620,26,195,34.0,17,126.5,6,4,13,1,0,2,0
38,3,1,1,1,30477.0,66.0,3207,16,47,1,6,0.0,0,12.0,1,1,3,1,0,6,2
61,0,1,0,0,28249.0,43.0,3063,80,1,9,7,2.0,14,10.0,2,0,3,1,0,6,2
39,2,1,1,1,25271.0,50.0,3827,45,10,1,18,10.0,4,7.0,1,1,2,1,0,9,2
52,4,0,1,1,32303.0,39.0,3014,63,35,0,2,0.0,0,2.0,1,0,4,2,0,5,2
56,2,1,1,1,61286.0,608.0,3555,34,356,0,107,19.0,9,117.0,7,1,8,2,0,5,1
46,2,1,0,0,74068.0,1581.0,3516,14,783,30,537,120.5,76,15.0,4,10,9,1,0,2,0
58,4,1,1,2,45759.0,68.0,3540,13,42,1,18,3.0,0,4.0,2,0,3,2,0,7,2
44,0,1,1,1,24882.0,80.0,3707,52,1,4,10,29.0,0,36.0,1,1,2,1,1,6,2
33,4,1,0,0,66973.0,1282.0,3457,98,466,22,432,120.5,81,102.0,8,7,12,1,0,3,0
90,1,0,1,1,36640.0,65.0,3325,99,15,6,8,7.0,4,25.0,2,1,2,1,0,5,2
34,2,1,1,1,38872.0,91.0,3444,93,23,3,21,3.0,19,22.0,3,0,3,2,0,8,2
49,2,1,1,2,51148.0,315.0,3545,38,235,6,45,8.0,9,12.0,5,1,6,4,0,6,1
45,2,1,1,2,31353.0,31.0,3231,24,10,0,10,3.0,1,7.0,1,1,2,2,0,8,2
42,3,1,0,0,69661.0,834.0,3096,80,656,16,106,32.0,16,8.0,7,3,12,1,0,3,0
68,2,1,0,0,80067.0,1600.0,3332,82,519,17,556,27.0,81,51.0,4,6,6,1,1,2,0
68,2,1,0,0,86718.0,1270.0,3577,20,344,81,482,50.0,33,126.5,5,6,5,1,0,2,0
49,4,0,1,2,46854.0,263.0,3139,81,96,1,79,7.0,1,79.0,5,1,3,6,1,8,1
70,2,0,1,1,69142.0,535.0,3049,50,448,4,34,6.0,4,39.0,8,1,7,3,1,5,1
54,2,0,0,0,75922.0,1295.0,3339,60,265,81,553,120.5,23,92.0,4,4,9,1,0,1,0
44,2,0,1,1,63693.0,1150.0,3307,63,587,43,337,42.0,81,54.0,11,6,9,3,0,6,1
45,4,1,0,0,102160.0,1240.0,3918,54,763,29,138,76.0,81,58.0,7,9,10,0,3,4,0
57,4,0,1,2,40637.0,38.0,3396,72,22,0,13,0.0,0,3.0,1,0,3,2,0,7,2
38,3,0,0,0,18890.0,35.0,3675,5,6,4,1,7.0,2,15.0,0,1,2,1,1,6,2
34,2,1,1,1,29604.0,53.0,3370,88,7,6,13,7.0,6,14.0,1,0,3,1,1,9,2
59,3,0,1,2,48721.0,293.0,3461,50,81,18,113,47.0,13,21.0,4,2,5,6,0,6,1
56,2,1,1,1,44794.0,65.0,3011,99,54,0,7,0.0,0,4.0,2,0,3,1,0,6,2
68,2,0,1,1,64497.0,1804.0,3677,17,1170,48,320,42.0,32,126.5,11,4,9,5,1,8,1
66,2,1,1,1,46097.0,241.0,3504,11,72,24,68,65.0,4,8.0,3,1,6,5,0,4,1
68,2,1,0,0,77972.0,1101.0,3152,18,613,22,319,33.0,81,12.0,4,6,9,1,0,1,0
54,4,1,1,2,44377.0,264.0,3829,70,224,0,30,0.0,0,10.0,5,1,5,8,0,8,1
48,3,1,1,2,46014.0,541.0,3573,21,410,0,59,19.0,9,44.0,7,1,8,10,0,7,1
37,2,1,0,0,70951.0,1198.0,3499,66,239,10,554,120.5,81,54.0,3,4,9,1,0,1,0
45,2,1,1,1,41443.0,482.0,3225,79,171,7,171,25.0,19,89.0,8,1,5,6,0,8,1
44,1,0,1,3,52195.0,17.0,2890,2,12,0,4,0.0,0,1.0,1,0,2,1,0,8,2
74,3,1,0,0,83790.0,1615.0,3275,81,1076,16,417,42.0,48,16.0,8,10,6,1,2,3,0
68,3,0,1,1,44551.0,285.0,3351,24,182,4,33,0.0,0,66.0,4,1,5,2,0,7,2
42,2,1,1,1,69508.0,1135.0,3641,48,824,32,162,42.0,32,43.0,11,4,11,2,0,6,1
34,1,1,1,1,45204.0,114.0,2921,93,30,11,25,29.0,1,18.0,1,1,4,1,0,3,2
53,2,1,0,0,72460.0,1047.0,3276,56,377,10,540,80.0,30,10.0,3,5,7,1,0,1,0
52,4,1,1,2,77622.0,714.0,3125,3,520,7,154,19.0,0,14.0,6,3,11,2,0,3,1
42,4,1,1,1,30732.0,185.0,3473,44,155,1,25,0.0,1,3.0,4,1,4,4,0,8,2
60,2,0,1,1,63887.0,1245.0,3738,38,897,23,207,15.0,11,92.0,9,6,12,5,0,6,1
44,2,1,1,1,42011.0,189.0,3509,46,131,0,16,2.0,1,39.0,3,1,4,4,0,8,2
46,2,1,1,1,51369.0,576.0,3661,84,297,7,79,0.0,11,126.5,8,2,4,2,0,8,1
70,2,0,1,1,51537.0,1103.0,3704,27,787,20,204,0.0,0,92.0,2,2,11,3,0,8,1
50,4,1,0,0,79930.0,1753.0,3739,72,792,81,556,67.0,51,17.0,3,5,8,1,0,2,0
36,4,1,1,1,34320.0,17.0,3182,66,4,1,9,3.0,0,0.0,1,0,2,1,0,8,2
56,2,0,1,2,37070.0,433.0,3515,30,231,7,137,4.0,15,39.0,5,1,8,9,0,7,1
60,1,0,1,1,81975.0,1588.0,3473,2,983,76,184,120.5,81,27.0,6,3,4,1,1,7,0
51,2,1,1,1,38590.0,22.0,3459,65,3,1,8,4.0,3,3.0,1,0,2,1,0,8,2
71,2,0,0,0,15033.0,19.0,3123,37,0,4,5,6.0,0,4.0,1,0,3,1,0,3,2
57,4,1,1,1,62745.0,1117.0,3512,89,562,21,464,28.0,10,32.0,7,8,11,3,0,5,1
47,1,1,1,1,22212.0,69.0,3339,49,5,9,20,6.0,8,21.0,2,0,4,2,0,6,2
40,3,1,1,1,23661.0,23.0,3492,46,18,0,4,0.0,0,1.0,1,0,3,1,0,7,2
64,4,0,1,1,79761.0,605.0,3494,32,415,5,124,15.0,35,11.0,5,2,11,1,0,3,1
49,2,0,1,1,7500.0,57.0,3234,54,5,3,10,12.0,7,20.0,3,1,3,4,0,7,2
90,1,0,1,1,60182.0,22.0,3092,23,8,0,5,7.0,0,2.0,1,0,2,1,0,4,2
54,2,0,0,0,73455.0,2088.0,3293,98,901,61,556,120.5,81,20.0,6,5,10,1,1,3,0
64,2,1,1,1,64961.0,1009.0,3602,97,382,81,276,75.0,81,38.0,6,4,4,2,0,3,1
51,2,0,1,1,22804.0,26.0,3382,75,14,1,7,2.0,1,1.0,2,0,2,1,0,9,2
32,2,1,0,0,73687.0,1627.0,3262,8,559,81,503,120.5,13,126.5,3,9,9,1,1,2,0
64,2,1,1,1,61074.0,1102.0,3730,37,789,0,133,0.0,28,126.5,11,5,8,7,0,7,1
58,4,1,1,2,31686.0,17.0,3103,31,11,0,5,0.0,0,1.0,1,0,3,2,0,6,2
50,2,1,1,1,80134.0,1690.0,3454,40,1218,16,272,104.0,0,80.0,5,3,6,2,3,6,1
69,2,1,1,1,75027.0,1390.0,3350,74,925,64,179,120.5,12,77.0,9,4,6,2,0,5,1
34,4,1,0,0,67546.0,2126.0,3716,90,864,81,556,120.5,38,126.5,4,10,5,1,0,3,0
53,3,1,1,1,65176.0,1531.0,3657,57,960,28,183,120.5,70,70.0,9,6,6,4,0,6,1
47,3,0,1,1,31160.0,64.0,3335,59,16,3,25,6.0,1,13.0,2,0,3,2,0,8,2
37,2,0,1,1,29938.0,26.0,3294,52,3,3,7,0.0,2,11.0,1,0,3,2,0,6,2
48,2,0,0,0,102692.0,1112.0,3470,5,168,81,444,32.0,81,126.5,6,9,13,1,4,2,0
